Msg Timestamp,Message,Time,Unit of Measurement,Timing Source,Event Level,Event Identifier
0,BACKEND,118452,US,BACKEND,ROOT,RPC (finalize) time
0,BACKEND,115708,US,BACKEND,ROOT,QNN accelerator (finalize) time
0,BACKEND,115464,US,BACKEND,ROOT,Accelerator (finalize) time
0,FINALIZE,45485848,US,BACKEND,ROOT,QNN (finalize) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,49192,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,46854,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,46721,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,45768,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,51619,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,46703,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,46073,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,45941,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,45600,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47649,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,48644,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,48007,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,47870,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,47529,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,51425,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,46094,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,45592,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,45456,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,45103,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48193,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,46683,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,45605,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,45462,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,45109,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48298,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,47864,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,47284,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,47146,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,46793,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,50412,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,47294,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,46821,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,46687,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,46348,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,50500,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,46252,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,45750,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,45620,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,45277,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48649,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,47631,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,46995,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,46859,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,46506,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,50426,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,46415,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,45787,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,45650,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,45306,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48479,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,47067,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,46437,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,46300,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,45959,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,49122,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45671,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,45035,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44899,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44267,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48315,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45215,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44624,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44487,US,BACKEND,ROOT,Accelerator (execute) time
